"ID","pertes_totales"
1,220566.2111
2,-479276.2306
3,216359.0121
4,362357.0992
5,438415.4952
6,469913.18
7,406761.4954
8,448783.1896
9,354014.7075
10,264283.7975
11,228672.0676
12,248189.7253
13,237074.7863
14,189238.9303
15,225649.4388
16,290398.7377
17,457538.1898
18,493203.1233
19,489222.7302
20,315477.7927
21,503204.2811
22,282811.8165
23,263170.1322
24,216037.0094
25,1495861.6385
26,572929.5035
27,659673.9978
28,982494.789
29,1400056.3858
30,2096289.9692
31,1477605.18
32,1267523.3597
33,1188269.9476
34,929194.0553
35,719781.4906
36,661160.7931
37,562908.7842
38,608705.7893
39,715186.5301
40,790127.0666
41,985932.4279
42,1630279.6636
43,1420961.1951
44,1146985.4756
45,1198663.9898
46,814926.1753
47,57519.5464
48,73649.5442
49,244903.1034
50,247487.4469
51,142162.5408
52,750349.5847
53,633665.3891
54,914334.5408
55,930051.9062
56,760617.0523
57,658184.9393
58,502245.4312
59,317572.3743
60,261577.4407
61,222577.827
62,237145.591
63,268082.0473
64,404762.6472
65,551411.1505
66,779970.589
67,784148.9965
68,626664.7935
69,522208.9039
70,351269.742
71,-29321.898
72,232040.1069
73,505987.2941
74,660689.4898
75,482755.6616
76,823542.065
77,1009527.8473
78,1329074.5026
79,1526647.2455
80,1112650.0851
81,1054836.8815
82,831461.8564
83,589825.7797
84,683444.2618
85,775301.8511
86,807094.3682
87,628573.1823
88,682654.5685
89,900216.335
90,1168660.5582
91,1587916.9303
92,1260382.1148
93,1001387.7725
94,894630.6547
95,798600.4795
96,666029.3955
97,876552.8622
98,668176.8371
99,772896.9958
100,1071636.4386
101,1912020.737
102,2383977.0332
103,1569679.6487
104,1576614.4071
105,1394611.2257
106,990859.9937
107,-2129967.0792
108,-3133087.128
109,645930.5766
110,-419694.9769
111,-1224029.038
112,-1120191.0956
113,133986.8916
114,887534.0156
115,794027.3565
116,437857.9021
117,1419261.1556
118,1522102.9851
119,779372.7212
120,498550.9977
121,64039.288
122,-300828.4035
123,199829.161
124,-39313.5659
125,370067.1767
126,748396.6976
127,788163.3913
128,815136.3107
129,-139801.159
130,543008.2814
131,505490.2332
132,489610.9594
133,554324.7128
134,308395.389
135,205101.7788
136,586815.4811
137,675171.039
138,621577.4774
139,-3943527.44
140,-6061075.4982
141,-5739532.4408
142,-1501659.1834
143,-879484.1099
144,-421373.1853
145,512221.5941
146,600491.7485
147,436095.4687
148,422488.2714
149,760834.9461
150,974833.9997
151,974418.3855
152,816234.1838
153,758401.858
154,646327.7426
155,462594.2428
156,441376.0771
157,483944.5607
158,471595.4991
159,433867.1152
160,478309.9559
161,585888.6061
162,985439.2123
163,928076.4981
164,774633.6066
165,842261.0751
166,474903.6316
167,485697.9095
168,366568.6163
169,1881491.2174
170,1829077.5271
171,2015704.0536
172,2852257.4142
173,3286463.6748
174,1713379.574
175,2022996.4267
176,1355145.2227
177,1130729.1466
178,956239.9223
179,657787.6619
180,688570.0374
181,752273.225
182,552848.3427
183,627069.49
184,803236.1257
185,1434965.0736
186,1403280.9379
187,1437373.4369
188,1451503.5488
189,1187957.1724
190,854865.7893
191,479096.7829
192,709503.624
193,840961.125
194,944264.734
195,644663.549
196,1531554.915
197,945355.684
198,846587.2251
199,1767418.2914
200,2291644.6908
201,1438763.4131
202,1655189.6339
203,1110013.1831
204,903284.3777
205,481416.9031
206,69111.2289
207,-336890.5957
208,204292.6147
209,-507610.0475
210,-1491482.3956
